,number,context,question,A,B,C,D,E,answer,context-images
0,91,"


Viva la Vida
I used to rule the world
Seas would rise when I gave the word
Now in the morning and I sleep alone
Sweep the streets I used to own
I used to roll the dice
Feel the fear in my enemy’s eyes
Listen as the crowd would sing
“Now the old king is dead! Long live the king!”
One minute I held the key
Next the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand
[…]

MARTIN, C. Viva la vida, Coldplay. In: Viva la vida or Death and all his friends. Parlophone, 2008.



","

Letras de músicas abordam temas que, de certa forma, podem ser reforçados pela repetição de trechos ou palavras. O fragmento da canção Viva la vida, por exemplo, permite conhecer o relato de alguém que


","costumava ter o mundo aos seus pés e, de repente, se viu sem nada.","almeja o título de rei e, por ele, tem enfrentado inúmeros inimigos.","causa pouco temor a seus inimigos, embora tenha muito poder.","limpava as ruas e, com seu esforço, tornou-se rei de seu povo.",tinha a chave para todos os castelos nos quais desejava morar.,A,
1,95,"


Dejar de fumar engorda, pero seguir haciéndolo, también. Esa es la conclusión a la que han llegado investigadores de la Universidad de Navarra que han hecho un seguimiento de 7.565 personas durante 50 meses. Los datos “se han ajustado por edad, sexo, índice de masa corporal inicial y estilo de vida”, ha explicado el director del ensayo, Javier Basterra-Gortari, por lo que “el único factor que queda es el tabaquismo”. El estudio se ha publicado en la Revista Española de Cardiología.
“El tabaco es un anorexígeno [quita el apetito], y por eso las personas que dejan de fumar engordan”, añade Basterra-Gortari. Eso hace mucho más relevante el hallazgo del estudio. Puesto en orden, los que más peso ganan son los que dejan de fumar, luego, los que siguen haciéndolo, y, por último, los que nunca han fumado, indica el investigador. “Por eso lo mejor para mantener una vida saludable es no fumar nunca”, añade.

BENITO, E. Disponível em: http://www.elpais.com/articulo/sociedad. Acesso em: 23 abr. 2010 (fragmento).



","

O texto jornalístico caracteriza-se basicamente por apresentar informações a respeito dos mais variados assuntos, e seu título antecipa o tema que será tratado. Tomando como base o fragmento, qual proposição identifica o tema central e poderia ser usada como título?


",Estilo de vida interfere no ganho de peso.,Estudo mostra expectativa de vida dos fumantes.,Pessoas que fumam podem se tornar anoréxicas.,Fumantes engordam mais que não fumantes.,Tabagismo como fator de emagrecimento.,D,
2,92,"


THE WEATHER MAN
They say that the British love talking about the weather. For other nationalities this can be a banal and boring subject of conversation, something that people talk about when they have nothing else to say to each other. And yet the weather is a very important part of our lives. That at least is the opinion of Barry Gromett, press officer for The Met Office. This is located in Exeter, a pretty cathedral city in the southwest of England. Here employees — and computers — supply weather forecasts for much of the world.

Speak Up. Ano XXIII, n° 275.



","

Ao conversar sobre a previsão do tempo, o texto mostra


",o aborrecimento do cidadão britânico ao falar sobre banalidades.,a falta de ter o que falar em situações de avaliação de línguas.,a importância de se entender sobre meteorologia para falar inglês.,as diferenças e as particularidades culturais no uso de uma língua.,o conflito entre diferentes ideias e opiniões ao se comunicar em inglês.,D,
3,92,"


Bilingüismo en la Educación Media Continuidad, no continuismo
Aun sin escuela e incluso a pesar de la escuela, paraguayos y paraguayas se están comunicando en guaraní. La comunidad paraguaya ha encontrado en la lengua guaraní una funcionalidad real que asegura su reproducción y continuidad. Esto, sin embargo, no basta. La inclusión de la lengua guaraní en el proceso de educación escolar fue sin duda un avance de la Reforma Educativa.
Gracias precisamente a los programas escolares, aun en contextos urbanos, el bilingüismo ha sido potenciado. Los guaraníhablantes se han acercado con mayor fuerza a la adquisición del castellano, y algunos castellanohablantes perdieron el miedo al guaraní y superaron los prejuicios en contra de él. Dejar fuera de la Educación Media al guaraní sería echar por la borda tanto trabajo realizado, tanta esperanza acumulada.
Cualquier intento de marginación del guaraní en la educación paraguaya merece la más viva y decidida protesta, pero esta postura ética no puede encubrir el continuismo de una forma de enseñanza del guaraní que ya ha causado demasiados estragos contra la lengua, contra la cultura y aun contra la lealtad que las paraguayas y paraguayos sienten por su querida lengua. El guaraní, lengua de comunicación sí y mil veces sí; lengua de imposición, no.

MELIÀ. B. Disponível em: http://www.staff.uni-mainz.de. Acesso em: 27 abr. 2010 (adaptado).



","

Em alguns países bilíngues, o uso de uma língua pode se sobrepor à outra, gerando uma mobilização social em prol da valorização da menos proeminente. De acordo com o texto, no caso do Paraguai, esse processo se deu pelo (a)


",falta de continuidade do ensino do guarani nos programas escolares.,preconceito existente contra o guarani principalmente nas escolas.,esperança acumulada na reforma educativa da educação média.,inclusão e permanência do ensino do guarani nas escolas.,continuísmo do ensino do castelhano nos centros urbanos.,D,
4,91,"


Bilingüismo en la Educación Media Continuidad, no continuismo
Aun sin escuela e incluso a pesar de la escuela, paraguayos y paraguayas se están comunicando en guaraní. La comunidad paraguaya ha encontrado en la lengua guaraní una funcionalidad real que asegura su reproducción y continuidad. Esto, sin embargo, no basta. La inclusión de la lengua guaraní en el proceso de educación escolar fue sin duda un avance de la Reforma Educativa.
Gracias precisamente a los programas escolares, aun en contextos urbanos, el bilingüismo ha sido potenciado. Los guaraníhablantes se han acercado con mayor fuerza a la adquisición del castellano, y algunos castellanohablantes perdieron el miedo al guaraní y superaron los prejuicios en contra de él. Dejar fuera de la Educación Media al guaraní sería echar por la borda tanto trabajo realizado, tanta esperanza acumulada.
Cualquier intento de marginación del guaraní en la educación paraguaya merece la más viva y decidida protesta, pero esta postura ética no puede encubrir el continuismo de una forma de enseñanza del guaraní que ya ha causado demasiados estragos contra la lengua, contra la cultura y aun contra la lealtad que las paraguayas y paraguayos sienten por su querida lengua. El guaraní, lengua de comunicación sí y mil veces sí; lengua de imposición, no.

MELIÀ. B. Disponível em: http://www.staff.uni-mainz.de. Acesso em: 27 abr. 2010 (adaptado).



","

No último parágrafo do fragmento sobre o bilinguismo no Paraguai, o autor afirma que a língua guarani, nas escolas, deve ser tratada como língua de comunicação e não de imposição. Qual dos argumentos abaixo foi usado pelo autor para defender essa ideia?


","O guarani continua sendo usado pelos paraguaios, mesmo sem a escola e apesar dela.","O ensino médio no Paraguai, sem o guarani, desmereceria todo o trabalho realizado e as esperanças acumuladas.","A língua guarani encontrou uma funcionalidade real que assegura sua reprodução e continuidade, mas só isso não basta.","A introdução do guarani nas escolas potencializou a difusão da língua, mas é necessário que haja uma postura ética em seu ensino.","O bilinguismo na maneira de ensinar o guarani tem causado estragos contra a língua, a cultura e a lealdade dos paraguaios ao guarani.",D,
5,97,"


A biosfera, que reúne todos os ambientes onde se desenvolvem os seres vivos, se divide em unidades menores chamadas ecossistemas, que podem ser uma tem múltiplos mecanismos que regulam o número de organismos dentro dele, controlando sua reprodução, crescimento e migrações.
 

DUARTE, M. O guia dos curiosos. São Paulo: Companhia das Letras, 1995.



","



Predomina no texto a função da linguagem




","emotiva, porque o autor expressa seu sentimento em relação à ecologia.","fática, porque o texto testa o funcionamento do canal de comunicação.","poética, porque o texto chama a atenção para os recursos de linguagem.","conativa, porque o texto procura orientar comportamentos do leitor.","referencial, porque o texto trata de noções e informações conceituais.",E,
6,93,"


Los animales
En la Unión Europea desde el 1o de octubre de 2004 el uso de un pasaporte es obligatorio para los animales que viajan con su dueño en cualquier compañía.
AVISO ESPECIAL: en España los animales deben haber sido vacunados contra la rabia antes de su dueño solicitar la documentación. Consultar a un veterinario.

Disponível em: http://www.agencedelattre.com. Acesso em: 2 maio 2009 (adaptado).



","

De acordo com as informações sobre aeroportos e estações ferroviárias na Europa, uma pessoa que more na Espanha e queira viajar para a Alemanha com o seu cachorro deve


",O consultaras autoridades para verificar a possibilidade de viagem.,ter um certificado especial tirado em outubro de 2004.,tirar o passaporte do animal e logo vaciná-lo.,vacinar o animal contra todas as doenças.,vacinar o animal e depois solicitar o passaporte dele.,E,
7,101,"


Testes
Dia desses resolvi fazer um teste proposto por um site da internet. O nome do teste era tentador: “O que Freud diria de você”. Uau. Respondi a todas as perguntas e o resultado foi o seguinte: “Os acontecimentos da sua infância a marcaram até os doze anos, depois disso você buscou conhecimento intelectual para seu amadurecimento”. Perfeito! Foi exatamente o que aconteceu comigo. Fiquei radiante: eu havia realizado uma consulta paranormal com o pai da psicanálise, e ele acertou na mosca.
Estava com tempo sobrando, e curiosidade é algo que não me falta, então resolvi voltar ao teste e responder tudo diferente do que havia respondido antes. Marquei umas alternativas esdrúxulas, que nada tinham a ver com minha personalidade. E fui conferir o resultado, que dizia o seguinte: “Os acontecimentos da sua infância a marcaram até os 12 anos, depois disso você buscou conhecimento intelectual para seu amadurecimento”.



MEDEIROS, M. Doidas e santas. Porto Alegre, 2008 (adaptado).






","



Quanto às influências que a internet pode exercer sobre os usuários, a autora expressa uma reação irônica no trecho:




","“Marquei umas alternativas esdrúxulas, que nada tinham a ver”.",“Os acontecimentos da sua infância a marcaram até os doze anos”.,“Dia desses resolvi fazer um teste proposto por um site da internet”.,“Respondi a todas as perguntas e o resultado foi o seguinte”.,“Fiquei radiante: eu havia realizado uma consulta paranormal com o pai da psicanálise”.,E,
8,99,"


S.O.S Português
Por que pronunciamos muitas palavras de um jeito diferente da escrita? Pode-se refletir sobre esse aspecto da língua com base em duas perspectivas. Na primeira delas, fala e escrita são dicotômicas, o que restringe o ensino da língua ao código. Daí vem o entendimento de que a escrita é mais complexa que a fala, e seu ensino restringe-se ao conhecimento das regras gramaticais, sem a preocupação com situações de uso. Outra abordagem permite encarar as diferenças como um produto distinto de duas modalidades da língua: a oral e a escrita. A questão é que nem sempre nos damos conta disso.



S.O.S Português. Nova Escola. São Paulo: Abril, Ano XXV, nº- 231, abr. 2010 (fragmento adaptado).






","



O assunto tratado no fragmento é relativo à língua portuguesa e foi publicado em uma revista destinada a professores. Entre as características próprias desse tipo de texto, identificam-se marcas linguísticas próprias do uso




","regional, pela presença de léxico de determinada região do Brasil.","literário, pela conformidade com as normas da gramática.","técnico, por meio de expressões próprias de textos científicos.","coloquial, por meio do registro de informalidade.","oral, por meio do uso de expressões típicas da oralidade.",C,
9,93,"




Disponível em: http://www.fool.com. Acesso em: 21 jul. 2010.




","

Ao optar por ler a reportagem completa sobre o assunto anunciado, tem-se acesso a duas palavras que Bill Gates não quer que o leitor conheça e que se referem


",aos responsáveis pela divulgação desta informação na internet.,às marcas mais importantes de microcomputadores do mercado.,aos nomes dos americanos que inventaram a suposta tecnologia.,aos sites da internet pelos quais o produto já pode ser conhecido.,às empresas que levam vantagem para serem suas concorrentes.,E,enem-data/enem-2010/93-images/context_img_0.png
