,number,context,question,A,B,C,D,E,answer,context-images
0,48,"

As ondas eletromagnéticas, como a luz visível e as ondas de rádio, viajam em linha reta em um meio homogêneo. Então, as ondas de rádio emitidas na região litorânea do Brasil não alcançariam a região amazônica do Brasil por causa da curvatura da Terra. Entretanto sabemos que é possível transmitir ondas de rádio entre essas localidades devido à ionosfera.


","

Com ajuda da ionosfera, a transmissão de ondas planas entre o litoral do Brasil e a região amazônica é possível por meio da


",reflexão.,refração.,difração.,polarização.,interferência.,A,
1,46,"

Em nosso cotidiano, utilizamos as palavras “calor” e “temperatura” de forma diferente de como elas são usadas no meio científico. Na linguagem corrente, calor é identificado como “algo quente” e temperatura mede a “quantidade de calor de um corpo”. Esses significados, no entanto, não conseguem explicar diversas situações que podem ser verificadas na prática.


","

Do ponto de vista científico, que situação prática mostra a limitação dos conceitos corriqueiros de calor e temperatura?


",A temperatura da água pode ficar constante durante o tempo em que estiver fervendo.,Uma mãe coloca a mão na água da banheira do bebê para verificar a temperatura da água.,A chama de um fogão pode ser usada para aumentar a temperatura da água em uma panela.,A água quente que está em uma caneca é passada para outra caneca a fim de diminuir sua temperatura.,Um forno pode fornecer calor para uma vasilha de água que está em seu interior com menor temperatura do que a dele.,A,
2,58,"

Sob pressão normal (ao nível do mar), a água entra em ebulição à temperatura de 100 °C. Tendo por base essa afirmação, um garoto residente em uma cidade litorânea fez a seguinte experiência:

– Colocou uma caneca metálica contendo água no fogareiro do fogão de sua casa.
– Quando a água começou a ferver, encostou, cuidadosamente, a extremidade mais estreita de uma seringa de injeção, desprovida de agulha, na superfície do líquido e, erguendo o êmbolo da seringa, aspirou certa quantidade de água para seu interior, tampando-a em seguida.
– Verificando após alguns instantes que a água da seringa havia parado de ferver, ele ergueu o êmbolo da seringa, constatando, intrigado, que a água voltou a ferver após um pequeno deslocamento do êmbolo.



","

Considerando o procedimento anterior, a água volta a ferver porque esse deslocamento


",permite a entrada de calor do ambiente externo para o interior da seringa.,"provoca, por atrito, um aquecimento da água contida na seringa.",produz um aumento de volume que aumenta o ponto de ebulição da água.,proporciona uma queda de pressão no interior da seringa que diminui o ponto de ebulição da água.,possibilita uma diminuição da densidade da água que facilita sua ebulição.,D,
3,57,"

As cidades industrializadas produzem grandes proporções de gases como o CO2. o principal gás causador de efeito estufa. Isso ocorre por causa da quantidade de combustíveis fósseis queimados, principalmente no transporte, mas também em caldeiras industriais. Além disso, nessas cidades concentram-se as maiores áreas com solos asfaltados e concretados, o que aumenta a retenção de calor, formando o que se conhece por “ilhas de calor”. Tal fenômeno ocorre porque esses materiais absorvem o calor e o devolvem para o ar sob a forma de radiação térmica.


","

Em áreas urbanas, devido à atuação conjunta do efeito estufa e das “ilhas de calor”, espera-se que o consumo de energia elétrica


",diminua devido a utilização de caldeiras por indústrias metalúrgicas.,aumente devido ao bloqueio da luz do sol pelos gases do efeito estufa.,diminua devido à não necessidade de aquecer a água utilizada em indústrias.,aumente devido à necessidade de maior refrigeração de indústrias e residências.,diminua devido à grande quantidade de radiação térmica reutilizada.,D,
4,56,"


A lavoura arrozeira na planície costeira da região sul do Brasil comumente sofre perdas elevadas devido a salinização da água de irrigação, que ocasiona prejuízos diretos, como a redução de produção da lavoura. Solos com processo de salinização avançado não são indicados, por exemplo, para o cultivo de arroz. As plantas retiram a água do solo quando as forças de embebição dos tecidos das raízes são superiores às forças com que a água é retida no solo.

WINKEL, H.L.; TSCHIEDEL, M. Cultura do arroz: salinização de solos em cultivo do arroz.
Disponível em: http://agropage.tripod.com/saliniza.hml. Acesso em: 25 jun. 2010 (adaptado).



","

A presença de sais na solução do solo faz com que seja dificultada a absorção de água pelas plantas, o que provoca o fenômeno conhecido por seca fisiológica, caracterizado pelo(a)


","aumento da salinidade, em que a água do solo atinge uma concentração de sais maior que a das células das raízes das plantas, impedindo, assim, que a água seja absorvida.","aumento da salinidade, em que o solo atinge um nível muito baixo de água, e as plantas não tem força de sucção para absorver a água.","diminuição da salinidade, que atinge um nível em que as plantas não têm força de sucção, fazendo com que a água não seja absorvida.","aumento da salinidade, que atinge um nível em que as plantas têm muita sudação, não tendo força de sucção para superá-la.","diminuição da salinidade, que atinge um nível em que as plantas ficam túrgidas e não têm força de sudação para superá-la.",A,
5,55,"

O texto “O vôo das Folhas” traz uma visão dos índios
Ticunas para um fenômeno usualmente observado na
natureza:




O vôo das Folhas
Com o vento
as folhas se movimentam.
E quando caem no chão
ficam paradas em silêncio.
Assim se forma o ngaura. O ngaura cobre o chão da
floresta, enriquece a terra e alimenta as árvores.]
As folhas velhas morrem para ajudar o crescimento das
folhas novas.]
Dentro do ngaura vivem aranhas, formigas, escorpiões,
centopeias, minhocas, cogumelos e vários tipos de outros
seres muito pequenos.]
As folhas também caem nos lagos, nos igarapés e igapós.

A natureza segundo os Ticunas/Livro das Árvores.
Organização Geral dos Professores Bilíngues Ticunas, 2000



","

Na visão dos índios Ticunas, a descrição sobre o ngaura permite classificá-lo como um produto diretamente relacionado ao ciclo


",da água.,do oxigênio.,do fósforo.,do carbono.,do nitrogênio.,D,
6,59,"

O despejo de dejetos de esgotos domésticos e industriais vem causando sérios problemas aos rios brasileiros. Esses poluentes são ricos em substâncias que contribuem para a eutrofização de ecossistemas, que é um enriquecimento da água por nutrientes, o que provoca um grande crescimento bacteriano e, por fim, pode promover escassez de oxigênio.


","

Uma maneira de evitar a diminuição da concentração de oxigênio no ambiente é:


",Aquecer as águas dos rios para aumentar a velocidade de decomposição dos dejetos.,Retirar do esgoto os materiais ricos em nutrientes para diminuir a sua concentração nos rios.,Adicionar bactérias anaeróbicas às águas dos rios para que elas sobrevivam mesmo sem oxigênio.,Substituir produtos não degradáveis por biodegradáveis para que as bactérias possam utilizar os nutrientes.,Aumentar a solubilidade dos dejetos no esgoto para que os nutrientes fiquem mais acessíveis às bactérias.,B,
7,54,"


O fósforo, geralmente representado pelo íon de fosfato (PO4−3), é um ingrediente insubstituível da vida, já que é parte constituinte das membranas celulares e das moléculas do DNA e do trifosfato de adenosina (ATP), principal forma de armazenamento de energia das células. O fósforo utilizado nos fertilizantes agrícolas é extraído de minas, cujas reservas estão cada vez mais escassas. Certas práticas agrícolas aceleram a erosão do solo, provocando o transporte de fósforo para sistemas aquáticos, que fica imobilizado nas rochas. Ainda, a colheita das lavouras e o transporte dos restos alimentares para os lixões diminuem a disponibilidade dos íons no solo. Tais fatores têm ameaçado a sustentabilidade desse íon.



","

Uma medida que amenizaria esse problema seria:


","Incentivar a reciclagem de resíduos biológicos, utilizando dejetos animais e restos de culturas para produção de adubo.",Repor o estoque retirado das minas com um íon sintético de fósforo para garantir o abastecimento da indústria de fertilizantes.,Aumentar a importação de íons fosfato dos países ricos para suprir as exigências das indústrias nacionais de fertilizantes.,Substituir o fósforo dos fertilizantes por outro elemento com a mesma função para suprir as necessidades do uso de seus íons.,"Proibir, por meio de lei federal, o uso de fertilizantes com fósforo pelos agricultores, para diminuir sua extração das reservas naturais.",A,
8,52,"

Com o objetivo de se testar a eficiência de fornos de micro-ondas, planejou-se o aquecimento em 10°C de amostras de diferentes substâncias, cada uma com determinada massa, em cinco fornos de marcas distintas. Nesse teste, cada forno operou à potência máxima.


","

O forno mais eficiente foi aquele que


",forneceu a maior quantidade de energia às amostras.,cedeu energia à amostra de maior massa em mais tempo.,forneceu a maior quantidade de energia em menos tempo.,cedeu energia à amostra de menor calor específico mais lentamente.,forneceu a menor quantidade de energia às amostras em menos tempo.,C,
9,49,"


A cárie dental resulta da atividade de bactérias que degradam os açúcares e os transformam em ácidos que corroem a porção mineralizada dos dentes. O flúor, juntamente com o cálcio e um açúcar chamado xilitol, agem inibindo esse processo. Quando não se escovam os dentes corretamente e neles acumulam-se restos de alimentos, as bactérias que vivem na boca aderem aos dentes, formando a placa bacteriana ou biofilme. Na placa, elas transformam o açúcar dos restos de alimentos em ácidos, que corroem o esmalte do dente formando uma cavidade, que é a cárie. Vale lembrar que a placa bacteriana se forma mesmo na ausência de ingestão de carboidratos fermentáveis, pois as bactérias possuem polissacarídeos intracelulares de reserva.

Disponível em: http://www.diariodasaude.com.br. Acesso em: 11 ago. 2010 (adaptado).





cárie 1. destruição de um osso por corrosão progressiva.
* cárie dentária: efeito da destruição da estrutura dentária por bactérias.

HOUAISS, Antônio. Dicionário eletrônico. Versão 1.0. Editora
Objetiva, 2001 (adaptado).



","

A partir da leitura do texto, que discute as causas do aparecimento de cáries, e da sua relação com as informações do dicionário, conclui-se que a cárie dental resulta, principalmente, de


",falta de flúor e de cálcio na alimentação diária da população brasileira.,"consumo exagerado do xilitol, um açúcar, na dieta alimentar diária do indivíduo.",redução na proliferação bacteriana quando a saliva é desbalanceada pela má alimentação.,"uso exagerado do flúor, um agente que em alta quantidade torna-se tóxico à formação dos dentes.","consumo excessivo de açúcares na alimentação e má higienizaçao bucal, que contribuem para a proliferação de bactérias.",E,
